Date,DBGLSQE
2/7/2000,1000
2/8/2000,1002.17
2/9/2000,999.5
2/10/2000,988.5
2/11/2000,988.5
2/14/2000,988.15
2/15/2000,997.38
2/16/2000,999.82
2/17/2000,1006.35
2/18/2000,1002.53
2/21/2000,1002.46
2/22/2000,1010.55
2/23/2000,1004.06
2/24/2000,994.34
2/25/2000,990.37
2/28/2000,990.17
2/29/2000,990.44
3/1/2000,979.11
3/2/2000,970.79
3/3/2000,974.79
3/6/2000,971.68
3/7/2000,968.16
3/8/2000,972.96
3/9/2000,971.9
3/10/2000,966.5
3/13/2000,967.1
3/14/2000,971.9
3/15/2000,1003.08
3/16/2000,1009.09
3/17/2000,1000.16
3/20/2000,1005.79
3/21/2000,1012.41
3/22/2000,1015.48
3/23/2000,1020.03
3/24/2000,1012.53
3/27/2000,1006.45
3/28/2000,1005.92
3/29/2000,1004.08
3/30/2000,1015.18
3/31/2000,1014.8
4/3/2000,1024.66
4/4/2000,1023.95
4/5/2000,1023.94
4/6/2000,1018.59
4/7/2000,1017.98
4/10/2000,1018.47
4/11/2000,1025.77
4/12/2000,1023.02
4/13/2000,1021.23
4/14/2000,1011.81
4/17/2000,1024.83
4/18/2000,1019.12
4/19/2000,1017.22
4/20/2000,1028.72
4/21/2000,1028.7
4/24/2000,1028.63
4/25/2000,1034.68
4/26/2000,1035.6
4/27/2000,1035.46
4/28/2000,1029.14
5/1/2000,1030.8
5/2/2000,1024.22
5/3/2000,1036
5/4/2000,1035.92
5/5/2000,1034.35
5/8/2000,1027.45
5/9/2000,1028.12
5/10/2000,1029.25
5/11/2000,1031.5
5/12/2000,1026.12
5/15/2000,1025.63
5/16/2000,1028.54
5/17/2000,1025.8
5/18/2000,1022.61
5/19/2000,1023.29
5/22/2000,1024.11
5/23/2000,1023.39
5/24/2000,1028.92
5/25/2000,1028.07
5/26/2000,1018.97
5/29/2000,1018.9
5/30/2000,1016.31
5/31/2000,1013.23
6/1/2000,1013.2
6/2/2000,1015.15
6/5/2000,1007.9
6/6/2000,1003.29
6/7/2000,1005.39
6/8/2000,1003.36
6/9/2000,1002.73
6/12/2000,1002.66
6/13/2000,999.48
6/14/2000,999.77
6/15/2000,1005.67
6/16/2000,1007.16
6/19/2000,1003.21
6/20/2000,997.89
6/21/2000,997.89
6/22/2000,998.62
6/23/2000,999.12
6/26/2000,1006
6/27/2000,1008.65
6/28/2000,1011.5
6/29/2000,1016.69
6/30/2000,1011.85
