Dates,DBGLSNQU Index
2/7/2000,1000
2/8/2000,1002.18
2/9/2000,999.5
2/10/2000,988.41
2/11/2000,988.41
2/14/2000,988.13
2/15/2000,997.36
2/16/2000,999.82
2/17/2000,1006.4
2/18/2000,1002.54
2/21/2000,1002.48
2/22/2000,1010.86
2/23/2000,1004.16
2/24/2000,994.24
2/25/2000,990.37
2/28/2000,990.28
2/29/2000,990.59
3/1/2000,979.33
3/2/2000,971.15
3/3/2000,975.21
3/6/2000,972.17
3/7/2000,968.67
3/8/2000,973.45
3/9/2000,972.4
3/10/2000,966.97
3/13/2000,967.56
3/14/2000,972.39
3/15/2000,1003.84
3/16/2000,1010.06
3/17/2000,1000.88
3/20/2000,1006.59
3/21/2000,1013.34
3/22/2000,1016
3/23/2000,1021.01
3/24/2000,1013.48
3/27/2000,1007.29
3/28/2000,1006.64
3/29/2000,1004.32
3/30/2000,1015.44
3/31/2000,1015.12
4/3/2000,1024.91
4/4/2000,1024.11
4/5/2000,1024.7
4/6/2000,1018.99
4/7/2000,1018.39
4/10/2000,1018.87
4/11/2000,1026.2
4/12/2000,1023.42
4/13/2000,1021.62
4/14/2000,1012.23
4/17/2000,1025.21
4/18/2000,1019.51
4/19/2000,1017.65
4/20/2000,1028.92
4/21/2000,1028.9
4/24/2000,1028.83
4/25/2000,1034.56
4/26/2000,1035.38
4/27/2000,1035.03
4/28/2000,1029.02
5/1/2000,1030.57
5/2/2000,1024.33
5/3/2000,1035.18
5/4/2000,1035.12
5/5/2000,1033.67
5/8/2000,1027.26
5/9/2000,1027.93
5/10/2000,1029.08
5/11/2000,1031.34
5/12/2000,1025.9
5/15/2000,1025.38
5/16/2000,1028.36
5/17/2000,1025.6
5/18/2000,1022.42
5/19/2000,1023.1
5/22/2000,1023.88
5/23/2000,1023.13
5/24/2000,1028.74
5/25/2000,1027.88
5/26/2000,1018.47
5/29/2000,1018.38
5/30/2000,1015.63
5/31/2000,1012.5
6/1/2000,1012.42
6/2/2000,1014.26
6/5/2000,1006.6
6/6/2000,1001.34
6/7/2000,1003.43
6/8/2000,1001.41
6/9/2000,1000.79
6/12/2000,1000.71
6/13/2000,997.53
6/14/2000,997.83
6/15/2000,1003.7
6/16/2000,1005.21
6/19/2000,1001.26
6/20/2000,995.97
6/21/2000,996.03
6/22/2000,996.77
6/23/2000,997.28
6/26/2000,1003.98
6/27/2000,1006.6
6/28/2000,1009.42
6/29/2000,1014.62
6/30/2000,1009.88
7/3/2000,1005.64
7/4/2000,1005.61
7/5/2000,1011.58
7/6/2000,1010.99
7/7/2000,1015.19
7/10/2000,1016.41
7/11/2000,1023.8
7/12/2000,1021.45
7/13/2000,1020.68
7/14/2000,1016.2
7/17/2000,1018.41
7/18/2000,1020.96
7/19/2000,1024.15
7/20/2000,1019.57
7/21/2000,1023.32
7/24/2000,1029.46
7/25/2000,1029.98
7/26/2000,1032.84
7/27/2000,1036.69
7/28/2000,1040.17
7/31/2000,1040.48
8/1/2000,1040.05
8/2/2000,1043.36
8/3/2000,1044.3
8/4/2000,1035.83
8/7/2000,1031.42
8/8/2000,1032.05
8/9/2000,1026.11
8/10/2000,1034.09
8/11/2000,1035.08
8/14/2000,1038.7
8/15/2000,1036.95
8/16/2000,1032.79
8/17/2000,1036.14
8/18/2000,1033.29
8/21/2000,1036.16
8/22/2000,1033.33
8/23/2000,1031.71
8/24/2000,1028.29
8/25/2000,1024.41
8/28/2000,1024.78
8/29/2000,1025.68
8/30/2000,1023.4
8/31/2000,1026.79
9/1/2000,1022.52
9/4/2000,1022.45
9/5/2000,1020.82
9/6/2000,1028.92
9/7/2000,1024.59
9/8/2000,1024.19
9/11/2000,1030.73
9/12/2000,1034.07
9/13/2000,1030.15
9/14/2000,1026.82
9/15/2000,1029.91
9/18/2000,1031.96
9/19/2000,1026.2
9/20/2000,1021.86
9/21/2000,1027.75
9/22/2000,1031.76
9/25/2000,1030.59
9/26/2000,1032.62
9/27/2000,1039.53
9/28/2000,1042.22
9/29/2000,1042.39
10/2/2000,1043.27
10/3/2000,1046.09
10/4/2000,1041.21
10/5/2000,1038.17
10/6/2000,1039.72
10/9/2000,1039.65
10/10/2000,1040.81
10/11/2000,1052.09
10/12/2000,1054.26
10/13/2000,1046.43
10/16/2000,1053.98
10/17/2000,1059.64
10/18/2000,1066.01
10/19/2000,1063.56
10/20/2000,1061.46
10/23/2000,1056.87
10/24/2000,1062.88
10/25/2000,1076.73
10/26/2000,1083.62
10/27/2000,1080.84
10/30/2000,1097.29
10/31/2000,1085.22
11/1/2000,1083.25
11/2/2000,1078.24
11/3/2000,1080.48
11/6/2000,1080.14
11/7/2000,1076.15
11/8/2000,1085.01
11/9/2000,1085.64
11/10/2000,1089.17
11/13/2000,1092.32
11/14/2000,1085.99
11/15/2000,1089.54
11/16/2000,1095.49
11/17/2000,1097.9
11/20/2000,1100.39
11/21/2000,1110.06
11/22/2000,1118.3
11/23/2000,1118.23
11/24/2000,1114.73
11/27/2000,1115.2
11/28/2000,1120.21
11/29/2000,1123.94
11/30/2000,1115.79
12/1/2000,1109.35
12/4/2000,1122.32
12/5/2000,1125.78
12/6/2000,1120.56
12/7/2000,1130.15
12/8/2000,1114.43
12/11/2000,1103.76
12/12/2000,1106.79
12/13/2000,1113.51
12/14/2000,1117.51
12/15/2000,1110.44
12/18/2000,1119.14
12/19/2000,1135.15
12/20/2000,1146.95
12/21/2000,1154.55
12/22/2000,1140.84
12/25/2000,1140.77
12/26/2000,1140.86
12/27/2000,1140.76
12/28/2000,1140.27
12/29/2000,1140.62
1/1/2001,1140.54
1/2/2001,1148.62
1/3/2001,1129.37
1/4/2001,1132.69
1/5/2001,1140.4
1/8/2001,1145.03
1/9/2001,1143.17
1/10/2001,1127.67
1/11/2001,1112.87
1/12/2001,1098.73
1/15/2001,1098.97
1/16/2001,1109.14
1/17/2001,1107.11
1/18/2001,1113.19
1/19/2001,1112.62
1/22/2001,1109.58
1/23/2001,1097.78
1/24/2001,1086.85
1/25/2001,1108.63
